date,year,month,state,sector,index,division,group,class,sub_class,item,code,mom_change,yoy_change
2025-01-01,2025,January,All India,Combined,101.67075404943947,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,,
2025-02-01,2025,February,All India,Combined,101.30181633390518,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,-0.36287496732333446,
2025-03-01,2025,March,All India,Combined,101.37833382580486,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.07553417566321663,
2025-04-01,2025,April,All India,Combined,101.56163260450928,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.1808066593591784,
2025-05-01,2025,May,All India,Combined,101.87710401251618,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.3106206545885115,
2025-06-01,2025,June,All India,Combined,102.49523951960462,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.6067462489044662,
2025-07-01,2025,July,All India,Combined,103.34998195422875,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.8339337891499321,
2025-08-01,2025,August,All India,Combined,103.74216588857877,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.3794717008501314,
2025-09-01,2025,September,All India,Combined,103.73914310165223,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,-0.0029137495835440674,
2025-10-01,2025,October,All India,Combined,103.7388122561962,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,-0.00031892055991633583,
2025-11-01,2025,November,All India,Combined,104.01538566674627,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.2666055303072401,
2025-12-01,2025,December,All India,Combined,104.09414135352709,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.07571542063320447,
2026-01-01,2026,January,All India,Combined,104.46598079820177,"CPI Excluding Paan, Tobacco and Intoxicants",*,*,*,*,*,0.35721457503725684,2.749292827515637
