division,group,class,item,yoy_change,mom_change,weight,contribution_score
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Potato,-28.987778125979315,-12.68944258926278,0.7549405247282766,-21.88404842913368
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Onion,-29.27350427350428,5.843023255813939,0.7005628269610512,-20.50792890890257
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Garlic,-53.05210918114145,14.968604415637031,0.3738118860231582,-19.83150899050899
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses","Arhar, tur",-24.896055166818776,0.0810810810810913,0.5333412978858154,-13.278094374907987
"Housing, water, electricity, gas and other fuels","Electricity, gas and other fuels",Electricity,Electricity charges,-1.9818743153072305,0.5003573981415155,2.327700493361841,-4.613209821521801
Food and beverages,Food,Ready-made food and other food products,Cumin (jeera),-10.772982716573,-0.2962085308056861,0.3655075348959454,-3.937606356211223
Transport,Purchase of vehicles,Motor cars,Motor car and jeep,-6.74901185770751,-0.0105954651409057,0.4664703366302072,-3.148213833186082
Transport,Purchase of vehicles,Motorcycles,Motor cycle and scooter,-3.348060873834069,0.1016880211510917,0.6581083215799441,-2.20338672222642
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Peas,-15.56388335870712,-32.980107826733594,0.125433842809667,-1.9522376987240608
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Urd,-8.319168083191686,0.6365931291844928,0.1843103579891399,-1.5333088475848864
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Gram: split,-9.64742704593574,-0.4462927274571426,0.1150601267360525,-1.1100341785821868
Food and beverages,Food,Ready-made food and other food products,Dry chillies,-2.528945764777568,0.9254390577347672,0.4049760594093911,-1.0241624902796884
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Gram: whole,-8.633160237388726,-0.2833721283270973,0.0885417642072666,-0.7643952381024223
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Carrot,-6.161338132542871,-15.941204362257,0.1217729538675428,-0.7502843441764753
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Moong,-2.89372857430934,0.1872464371164062,0.2388406635060625,-0.6911400526944951
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Besan and Gram products,-4.204821528686232,-0.2238442822384501,0.123862172624471,-0.520818330041226
Food and beverages,Food,Fruits and nuts,Lemon,-3.52845904673762,-0.3584657665192892,0.1367218637336725,-0.48241749697790487
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses","Peas, chickpeas",-8.247229006199497,-0.7518796992481147,0.0516071672947941,-0.42561612704141594
"Furnishings, household equipment and routine household maintenance",Household appliances,Major electric and other household appliances,Air conditioner,-6.033966033966031,-0.3812751535691605,0.0446018587805733,-0.2691261009337289
Food and beverages,Food,"Vegetables, tubers, plantains, cooking bananas and pulses",Other pulses,-4.083414161008725,-0.6330385852090004,0.0473343420206402,-0.19328572250911252
